url;name;price;image;available;category
http://pepbar.ru/levitra;Левитра;120.0;http://pepbar.ru/image/cache/data/Tovar/levitra-small-500x500.jpg;0;Модель: Levitra Наличие: В наличии
http://pepbar.ru/black-spider;Black spider;2700.0;http://pepbar.ru/image/cache/data/Tovar/cloma-pharma-laboratories-black-spider-100-caps-hard-series-500x500.jpg;1;Модель: 100 кап. Наличие: Есть в наличии
http://pepbar.ru/ghrp-2;GHRP-2 (5mg);350.0;http://pepbar.ru/image/cache/data/Tovar/GHRP-2-500x500.jpg;1;Модель: GHRP-2 Наличие: Есть в наличии
http://pepbar.ru/cjc-1295-with-dac;CJC 1295 with DAC (2mg);950.0;http://pepbar.ru/image/cache/data/Tovar/CJC-1295-with-dac-500x500.jpg;1;Модель: CJC-1295-with-DAC Наличие: Есть в наличии
http://pepbar.ru/methyldrene_elite;MethylDrene 25 Elite;2500.0;http://pepbar.ru/image/cache/data/Tovar/метилдрен элит-500x500.jpg;1;Модель: 100 кап. Наличие: Есть в наличии
http://pepbar.ru/peg-mgf;PEG MGF (2mg);950.0;http://pepbar.ru/image/cache/data/Tovar/PEG-MGF-500x500.jpg;1;Модель: PEG-MGF Наличие: Есть в наличии
http://pepbar.ru/cjc-1295;CJC 1295 (2mg);550.0;http://pepbar.ru/image/cache/data/Tovar/CJC-1295-500x500.jpg;1;Модель: CJC-1295 Наличие: Есть в наличии
http://pepbar.ru/hellfire;Hell fire;3490.0;http://pepbar.ru/image/cache/data/Tovar/Hellfire EPH 150-500x500-500x500.JPG;1;Модель: Hell fire Наличие: Есть в наличии
http://pepbar.ru/ghrp-6;GHRP-6 (5mg);350.0;http://pepbar.ru/image/cache/data/Tovar/GHRP-6-500x500.jpg;1;Модель: GHRP-6 Наличие: Есть в наличии
http://pepbar.ru/сardarol ;Cardarol;2500.0;http://pepbar.ru/image/cache/data/Tovar/_OBlt9hoqBI-500x500.jpg;1;Модель: 30 кап. Наличие: Есть в наличии
http://pepbar.ru/tb500;TB500 (2mg);500.0;http://pepbar.ru/image/cache/data/Tovar/tb-500-500x500.jpg;1;Модель: TB500 Наличие: Есть в наличии
http://pepbar.ru/melanotan-2-spray;Меланотан 2 (спрей) (20mg);1500.0;http://pepbar.ru/image/cache/data/Tovar/nasalspray__28747_zoom-500x500.jpg;0;Модель: Melanotan-2-spray Наличие: Нет в наличии
